1468 77 STREET,11228,5
360 ARLINGTON AVENUE,11208,7
5518 8 AVENUE,11220,2
1550 STERLING PLACE,11213,181
1587 LINCOLN PLACE,11233,6
630 EAST   85 STREET,11236,3
1112 EAST 55 STREET,11234,1
198 BROADWAY,11211,2
35 DIAMOND STREET,11222,4
1650 EAST 4 STREET,11230,1
1395 STANLEY AVENUE,11208,1
533 NOSTRAND AVENUE,11216,1
453 LIBERTY AVENUE,11207,15
381 CRESCENT STREET,11208,1
7114 21 AVENUE,11204,4
970 EAST  104 STREET,11236,2
1180 PENNSYLVANIA AVENUE,11239,1
16 CONSELYEA STREET,11211,1
1411 AVENUE V,11229,28
1032 BERGEN STREET,11216,2
291 RALPH AVENUE,11233,1
5201 SNYDER AVENUE,11203,22
553 6 AVENUE,11215,2
403 MACON STREET,11233,89
831 20 AVE,N/A,1
2823 WEST 12 STREET,11224,32
579 BLAKE AVENUE,N/A,1
562A HALSEY STREET,11233,1
2614 EAST 24 STREET,11235,5
962 EAST 54 STREET,11234,3
3110 BRIGHTON 4 STREET,11235,11
1702 WEST 7 STREET,11223,82
401 LINWOOD STREET,11208,1
1249 44 STREET,11219,3
171 29 STREET,11232,4
102 NORMAN AVENUE,N/A,2
431 MARION STREET,11233,12
1033 MONTGOMERY STREET,11213,1
652 BROOKLYN AVENUE,N/A,2
902 OCEAN PARKWAY,11230,137
148 KENILWORTH PLACE,11210,3
735 QUINCY STREET,11221,2
298A MARION STREET,11233,2
2102 WESTBURY COURT,11225,1
3845 18 AVENUE,11218,19
774 ROCKAWAY AVENUE,11212,14
731 HEGEMAN AVENUE,11207,9
116 SMITH STREET,11201,4
111 MONTAGUE STREET,11201,6
614 BANNER AVENUE,11235,3
88 PINE STREET,11208,18
1143 DE KALB AVENUE,11221,5
9014 4 AVENUE,11209,2
979 OCEAN AVENUE,11226,72
295 SARATOGA AVENUE,11233,1
1545 68 STREET,11219,2
292 ST JOHNS PLACE,11238,3
204 ELLERY STREET,11206,4
5624 15 AVENUE,11219,2
355 EAST 48 STREET,11203,2
9411 SHORE ROAD,11209,15
28 COVERT STREET,11207,2
1122 NEW YORK AVENUE,11203,21
779 HENDRIX STREET,11207,9
1411 LINDEN BOULEVARD,11212,7
650 WILLOUGHBY AVENUE,11206,17
18 MOTHER GASTON BOULEVARD,N/A,1
232 EAST 89 STREET,11236,1
1130 CLARKSON AVENUE,11212,1
472 STERLING PLACE,11238,1
833 43 STREET,11232,3
945 ASHFORD STREET,11207,1
1040 BROADWAY,11221,1
625 GRAVESEND NECK ROAD,11223,1
2064 CROPSEY AVENUE,11214,8
1407 NEW YORK AVENUE,11210,12
317 QUINCY STREET,11216,3
157 EAST 96 STREET,11212,3
2722 EAST 28 STREET,11235,1
749 41 STREET,11232,1
166 ROCKAWAY PARKWAY,N/A,5
802 AVENUE U,11223,6
27 EAST 16 STREET,11226,1
374 SOUTH 2 STREET,11211,2
306 CHAUNCEY STREET,11233,6
597 LOGAN STREET,11208,2
1507 AVENUE U,11229,3
654 GRAND STREET,11211,19
1839 80 STREET,11214,1
140 LEXINGTON AVENUE,11216,4
6647 BERGEN PLACE,11220,73
379 BERRY STREET,11249,4
4023 5 AVENUE,11232,1
303 1/2 GREENE AVENUE,11238,1
3260 CONEY ISLAND AVENUE,11235,35
106 MESEROLE AVENUE,11222,4
700 HERKIMER STREET,11233,2
1694 EAST 49 STREET,11234,2
156 EAST 39 STREET,11203,3
330 GATES AVENUE,11216,12
605 BAINBRIDGE STREET,11233,8
324 RUTLAND ROAD,11225,2
2115 OCEAN PARKWAY,11223,1
9022 FT HAMILTON PARKWAY,11209,1
171 LINDEN BOULEVARD,11226,5
2675 OCEAN AVENUE,11229,5
2024 WEST 6 STREET,11223,1
901 EAST 95 STREET,11236,1
255 GREENE AVENUE,11238,3
171 15 STREET,11215,2
847 HALSEY STREET,11233,2
